CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
SF539,905984,200,200_905984,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97509237,0.950608795,0.897047854,0.791352582,0.496540804,0.210635489,0.111738291,0.055023307,0.03508229,Dacinostat,SF539,0.02490762999999996,0.019941017
TC-71,1240221,1149,1149_1240221,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.969429093,0.979064479,0.930002673,0.763604252,0.357115524,0.140872488,0.067393396,0.031422697,0.022324589,TW 37,TC-71,0.03057090699999998,0.009098108
KARPAS-620,1327775,344,344_1327775,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.977288702,0.88354954,0.82174929,0.664328512,0.344562811,0.003598913,0.003035611,0.003219159,0.005211286,THZ-2-49,KARPAS-620,0.022711298000000046,0.001992127
HEL,907053,179,179_907053,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.991249215,0.894522494,0.691369283,0.487287839,0.279890751,0.205284189,0.1760018,0.145782023,0.121794411,5-Fluorouracil,HEL,0.008750785000000039,0.023987612000000005
SF539,905984,235,235_905984,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984999595,0.919147516,0.856255309,0.406869993,0.02182648,0.005884977,0.003174571,0.00321098,0.002915667,QL-XII-47,SF539,0.015000404999999994,0.00029531300000000017
IGR-37,1240153,1004,1004_1240153,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958439809,0.992156429,0.833389868,0.641566188,0.341640532,0.178939758,0.112824,0.038292765,0.027926135,Vinblastine,IGR-37,0.04156019099999997,0.010366629999999998
KMRC-1,1298168,272,272_1298168,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.99179064,0.989403649,0.970159303,0.974734368,0.852163935,0.485826686,0.18154813,0.077879295,0.045351959,AR-42,KMRC-1,0.008209360000000054,0.032527336000000004
HEL,907053,268,268_907053,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97413273,0.858553892,0.673480186,0.416062831,0.235300743,0.182937006,0.147464561,0.102482755,0.092501037,Sepantronium bromide,HEL,0.025867269999999998,0.009981718
HUTU-80,907073,269,269_907073,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965008758,0.914994479,0.919888366,0.866057129,0.853326359,0.559943086,0.035268766,-0.011154239,-0.012915796,NSC-207895,HUTU-80,0.034991242000000033,0.0017615570000000004
UACC-257,905977,273,273_905977,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.980906879,0.870423603,0.777219821,0.668095624,0.601077904,0.362240481,0.177628897,0.073908248,0.054712625,CUDC-101,UACC-257,0.019093121000000046,0.019195622999999995
KP-4,753572,235,235_753572,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.98253374,0.700997328,0.671921413,0.612467081,0.441165798,0.156005943,0.012980977,0.008820962,0.006005535,QL-XII-47,KP-4,0.017466259999999956,0.0028154269999999997
GA-10,1303896,56,56_1303896,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965037215,0.873978297,0.538672756,0.267684528,0.104350024,0.058978827,0.061131178,0.063283529,0.060923177,WH-4-023,GA-10,0.03496278500000005,0.002360352000000003
NCI-H82,688031,86,86_688031,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950649836,0.967888948,0.962161464,0.887867078,0.867754781,0.639661171,0.264003409,0.051083145,0.011491266,A-443654,NCI-H82,0.04935016400000003,0.039591879
RT-112,909704,308,308_909704,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.963646752,0.900620419,0.84217782,0.718098911,0.469376109,0.173640564,0.103124519,0.016716479,0.010709234,WIKI4,RT-112,0.03635324799999995,0.006007245
Toledo,1331046,152,152_1331046,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958875078,0.957219243,0.83951184,0.799062176,0.527299941,0.393233393,0.151114326,0.054011476,0.031987636,CP466722,Toledo,0.04112492199999995,0.022023840000000003
KINGS-1,907279,273,273_907279,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985482555,0.992367445,0.91938824,0.789745796,0.572841997,0.1229801,0.025068632,0.020225392,-0.000499787,CUDC-101,KINGS-1,0.014517444999999962,0.020725179
CAL-27,910916,274,274_910916,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.963995559,0.884885755,0.750524081,0.317600865,0.059671837,0.00744893,0.005729363,0.005106824,0.004609278,Belinostat,CAL-27,0.036004441,0.0004975460000000006
SBC-3,753610,308,308_753610,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997636395,0.806837725,0.810339539,0.333490343,0.231627086,0.132126612,0.045105273,0.011254403,0.011251265,WIKI4,SBC-3,0.002363604999999991,3.137999999999752e-06
HUTU-80,907073,272,272_907073,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988876868,0.920766872,0.810864206,0.502600852,0.07747797,-0.000444034,-0.008614143,-0.010892201,-0.011758591,AR-42,HUTU-80,0.011123132000000036,0.0008663899999999999
NCI-H2444,1298356,268,268_1298356,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988964998,0.965619904,0.505189685,0.059045745,0.023179647,0.017188038,0.014751289,0.016139811,0.012499878,Sepantronium bromide,NCI-H2444,0.01103500199999996,0.0036399329999999997
HEL,907053,104,104_907053,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.974708226,0.940589575,0.929181322,0.898286965,0.62846621,0.250953326,0.03623652,0.029253971,0.033731017,Bortezomib,HEL,0.025291774000000045,0.004477046000000002
NMC-G1,908449,170,170_908449,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986038357,0.926004867,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002807,Shikonin,NMC-G1,0.013961643000000024,0.002791459999999999
NCI-H1993,908476,170,170_908476,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.952686453,0.91879844,0.879570829,0.890061843,0.961784415,0.615944247,0.062727521,0.040909139,0.035391817,Shikonin,NCI-H1993,0.04731354700000001,0.005517321999999998
EoL-1-cell,906856,265,265_906856,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.972205973,0.945149343,0.966598625,0.945717338,0.67151459,0.164653865,0.261915521,0.020137595,0.026334291,Tubastatin A,EoL-1-cell,0.027794027,0.006196695999999998
BB65-RCC,753533,53,53_753533,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950566467,0.952186961,0.902776013,0.92183799,0.80973595,0.832208304,0.186246693,0.032056983,0.0590351,CGP-60474,BB65-RCC,0.049433532999999974,0.026978117000000003
RD-ES,1330996,245,245_1330996,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957891876,0.98837361,0.919399347,0.915396187,0.945279516,0.830946169,0.647909239,0.009645083,0.002649899,UNC0638,RD-ES,0.04210812399999997,0.006995184000000001
SUP-M2,1331040,1022,1022_1331040,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.998780238,0.851466138,0.851678667,0.732023039,0.176065088,0.042454902,0.026843036,0.044235065,0.032810109,AZD7762,SUP-M2,0.0012197619999999576,0.011424956
KGN,924186,272,272_924186,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.960798253,0.928472581,0.665442013,0.700600578,0.418903613,0.258477476,0.108231848,0.028725404,0.011507427,AR-42,KGN,0.03920174700000001,0.017217977
SBC-3,753610,135,135_753610,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.990962569,0.717361399,0.391355495,0.12174964,0.089483788,0.069738716,0.058549708,0.048249435,0.031395411,Gemcitabine,SBC-3,0.009037430999999985,0.016854024000000002
EVSA-T,906862,1053,1053_906862,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.978865655,0.804546402,0.705738033,0.452642259,0.246643521,0.128608672,0.080212301,0.057322652,0.055322486,MK-2206,EVSA-T,0.021134345,0.0020001660000000046
PA-TU-8988T,1240201,167,167_1240201,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950476022,0.921968751,0.948188596,0.669226201,0.787120192,0.634946332,0.476579613,0.010620151,0.011696322,OSU-03012,PA-TU-8988T,0.04952397799999997,0.0010761710000000008
BB30-HNC,753531,1003,1003_753531,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958435758,0.696768579,0.865289791,0.529308683,0.281114434,0.218668784,0.156657802,0.117293081,0.096684332,Camptothecin,BB30-HNC,0.041564241999999973,0.020608748999999996
BV-173,910710,1031,1031_910710,2,0.2,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968177596,0.983069369,0.934230272,0.81848788,0.604722063,0.423254985,0.200793239,0.150928931,0.179069249,Elesclomol,BV-173,0.031822404000000026,0.028140318000000025
MOLT-4,905958,86,86_905958,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951705617,0.94167164,0.905155895,0.85499077,0.787176949,0.47977238,0.126814349,0.032951848,0.020826997,A-443654,MOLT-4,0.048294382999999996,0.012124850999999999
NCI-H526,688025,133,133_688025,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957998948,0.890021777,0.744936811,0.591396636,0.470180163,0.251791584,0.067115957,0.023458045,0.01856759,Doxorubicin,NCI-H526,0.04200105200000004,0.004890455000000002
NMC-G1,908449,331,331_908449,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.983466282,0.963488947,0.843690977,0.795708015,0.612517667,0.325653858,0.238840753,0.229491708,0.187304966,QL-X-138,NMC-G1,0.01653371800000003,0.042186742
PCI-4B,1298531,1007,1007_1298531,2,0.0125,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97898719,0.932312989,0.605634179,0.353257656,0.259814525,0.235316998,0.210407851,0.154314907,0.122885266,Docetaxel,PCI-4B,0.021012809999999993,0.031429640999999994
A673,684052,173,173_684052,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968118555,0.901264742,0.775081892,0.749791373,0.57765437,0.355790524,0.181993837,0.233015085,0.195514833,FH535,A673,0.03188144500000001,0.03750025200000001
TT2609-C02,1240223,133,133_1240223,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.993014159,0.858954094,0.64575564,0.325972019,0.133373588,0.086757295,0.082219737,0.027762009,0.022257891,Doxorubicin,TT2609-C02,0.006985840999999993,0.005504118000000002
NCI-SNU-1,908444,274,274_908444,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988558778,0.862464072,0.743867965,0.488255339,0.331277288,0.111819488,0.090220765,0.072234683,0.032303498,Belinostat,NCI-SNU-1,0.011441221999999973,0.039931184999999994
HuCCT1,907069,346,346_907069,2,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.961882336,0.898869855,0.73554075,0.259879206,0.214497827,0.20056636,0.203336559,0.208613417,0.196100243,THZ-2-102-1,HuCCT1,0.03811766400000005,0.012513173999999988
451Lu,1287706,1060,1060_1287706,2,0.25,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.970556758,0.561432299,0.271706692,0.198666715,0.129361605,0.118428563,0.095361769,0.090546749,0.112835395,PD0325901,451Lu,0.029443242000000036,0.02228864600000001
