CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last,logLogist_3_param_r2,logLogist_3_param
SF539,905984,200,200_905984,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97509237,0.950608795,0.897047854,0.791352582,0.496540804,0.210635489,0.111738291,0.055023307,0.03508229,Dacinostat,SF539,0.0249076299999999,0.019941017,0.9982127412326567,[-0.26194561 -3.7794676   0.05165115]
TC-71,1240221,1149,1149_1240221,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.969429093,0.979064479,0.930002673,0.763604252,0.357115524,0.140872488,0.067393396,0.031422697,0.022324589,TW 37,TC-71,0.0305709069999999,0.009098108,0.998192090575857,[-0.2880783  -5.09695198  0.04280777]
KARPAS-620,1327775,344,344_1327775,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.977288702,0.88354954,0.82174929,0.664328512,0.344562811,0.003598913,0.003035611,0.003219159,0.005211286,THZ-2-49,KARPAS-620,0.022711298,0.001992127,0.9913313688238469,[-0.30560283 -3.94337636 -0.01882654]
HEL,907053,179,179_907053,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.991249215,0.894522494,0.691369283,0.487287839,0.279890751,0.205284189,0.1760018,0.145782023,0.121794411,5-Fluorouracil,HEL,0.008750785,0.023987612,0.9977789637349664,[-0.39869384 -3.70350846  0.14928206]
SF539,905984,235,235_905984,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984999595,0.919147516,0.856255309,0.406869993,0.02182648,0.005884977,0.003174571,0.00321098,0.002915667,QL-XII-47,SF539,0.0150004049999999,0.000295313,0.9970283040611925,[-3.73094132e-01 -7.22533345e+00 -3.97816438e-03]
IGR-37,1240153,1004,1004_1240153,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958439809,0.992156429,0.833389868,0.641566188,0.341640532,0.178939758,0.112824,0.038292765,0.027926135,Vinblastine,IGR-37,0.0415601909999999,0.0103666299999999,0.9957251191647496,[-0.31020474 -3.73905621  0.05540117]
KMRC-1,1298168,272,272_1298168,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.99179064,0.989403649,0.970159303,0.974734368,0.852163935,0.485826686,0.18154813,0.077879295,0.045351959,AR-42,KMRC-1,0.00820936,0.032527336,0.9982445951723551,[-0.180932   -4.51555559  0.06851168]
HEL,907053,268,268_907053,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97413273,0.858553892,0.673480186,0.416062831,0.235300743,0.182937006,0.147464561,0.102482755,0.092501037,Sepantronium bromide,HEL,0.0258672699999999,0.009981718,0.9978399676170316,[-0.41684148 -3.72661905  0.11876183]
HUTU-80,907073,269,269_907073,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965008758,0.914994479,0.919888366,0.866057129,0.853326359,0.559943086,0.035268766,-0.011154239,-0.012915796,NSC-207895,HUTU-80,0.034991242,0.001761557,0.984048021561548,[-0.17061608 -4.28313694 -0.03449376]
UACC-257,905977,273,273_905977,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.980906879,0.870423603,0.777219821,0.668095624,0.601077904,0.362240481,0.177628897,0.073908248,0.054712625,CUDC-101,UACC-257,0.019093121,0.0191956229999999,0.9942002629494499,[-0.24301469 -2.02800785  0.04071026]
